observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2023-06-17,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-06-17 09:00:00,9,10.0,80.0,4.0,,3.6,3.6,
2023-02-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-02-28 12:00:00,12,,330.0,1.0,,-35.3,-38.6,
2024-05-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-27 15:00:00,15,,20.0,3.0,,-1.9,-2.4,
2023-08-20,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-08-20 18:00:00,18,,60.0,4.0,,1.9,1.8,
2023-02-12,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-02-12 00:00:00,0,,,0.0,,-43.2,-47.0,
2023-07-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-07-04 09:00:00,9,,270.0,4.0,,0.7,0.6,
2023-02-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-02-27 12:00:00,12,,310.0,1.0,,-38.3,-41.8,
2023-02-09,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-02-09 12:00:00,12,,200.0,2.0,,-31.3,-34.3,
2023-04-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-26 06:00:00,6,2.0,120.0,3.0,,-10.8,-11.8,
2023-06-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-06-04 15:00:00,15,,100.0,8.0,14.0,-2.2,-2.3,
2024-10-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-10-06 00:00:00,0,,300.0,3.0,,-2.5,-5.1,
2024-05-03,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-03 12:00:00,12,36.0,70.0,8.0,,-7.7,-7.8,
2023-02-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-02-28 00:00:00,0,,120.0,1.0,,-36.4,-39.8,
2024-01-22,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-22 18:00:00,18,36.0,260.0,10.0,13.0,-27.2,-27.3,
2024-05-03,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-03 18:00:00,18,,110.0,3.0,10.0,-11.5,-11.6,
2024-05-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-28 00:00:00,0,,150.0,2.0,,-1.9,-3.1,-0.0
2024-09-12,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-09-12 18:00:00,18,2.0,90.0,11.0,15.0,3.6,2.9,
2023-09-16,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-09-16 12:00:00,12,10.0,350.0,4.0,,3.4,3.2,
2023-08-22,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-08-22 15:00:00,15,,40.0,1.0,,-2.1,-2.4,
2024-01-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-06 09:00:00,9,,,0.0,,-34.8,-36.7,
2024-05-14,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-14 06:00:00,6,,270.0,2.0,,-8.3,-8.4,
2024-12-25,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-12-25 09:00:00,9,71.0,290.0,9.0,11.0,-20.2,-22.6,
2024-01-07,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-07 03:00:00,3,,340.0,4.0,,-33.3,-34.9,
2024-01-31,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-31 06:00:00,6,36.0,330.0,7.0,,-27.0,-27.1,
2023-01-15,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-01-15 03:00:00,3,36.0,130.0,6.0,11.0,-20.4,-22.5,
2024-06-20,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-20 12:00:00,12,,80.0,6.0,,4.3,3.8,
2024-11-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-26 06:00:00,6,36.0,200.0,10.0,12.0,-18.3,-20.9,
2023-09-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-09-29 15:00:00,15,36.0,290.0,10.0,15.0,-0.0,-0.5,
2023-04-18,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-18 09:00:00,9,36.0,50.0,9.0,11.0,-17.3,-19.0,
2023-10-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-10-04 03:00:00,3,36.0,120.0,8.0,12.0,-1.6,-1.7,
2024-06-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-06 03:00:00,3,,80.0,7.0,,2.0,0.4,
2023-04-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-27 06:00:00,6,,90.0,4.0,,-11.0,-12.0,
2024-12-22,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-12-22 18:00:00,18,2.0,140.0,1.0,,-24.4,-27.1,
2023-06-21,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-06-21 12:00:00,12,2.0,90.0,6.0,12.0,2.9,2.8,
2024-06-22,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-22 00:00:00,0,,90.0,3.0,,5.0,3.6,2.0
2023-11-20,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-11-20 18:00:00,18,,,0.0,,-26.7,-27.1,
2024-03-13,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-03-13 00:00:00,0,36.0,100.0,7.0,10.0,-34.4,-35.8,
2024-07-14,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-07-14 06:00:00,6,,290.0,3.0,,1.7,-1.1,
2024-08-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-08-26 18:00:00,18,,340.0,5.0,,2.1,1.0,
2024-10-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-10-06 09:00:00,9,,360.0,1.0,,-6.6,-9.0,
2023-03-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-03-06 21:00:00,21,,,0.0,,-38.2,-41.7,
2024-07-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-07-26 09:00:00,9,,320.0,5.0,,5.0,3.6,
2023-11-14,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-11-14 21:00:00,21,,210.0,3.0,,-16.3,-16.4,
2023-09-13,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-09-13 06:00:00,6,2.0,200.0,4.0,,4.8,4.7,
2023-06-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-06-26 15:00:00,15,45.0,270.0,5.0,,0.1,0.1,
2024-05-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-29 09:00:00,9,,140.0,8.0,12.0,0.5,-3.5,
2024-11-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-28 21:00:00,21,2.0,170.0,4.0,10.0,-17.5,-20.6,
2023-09-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-09-04 00:00:00,0,2.0,310.0,4.0,,3.8,3.8,3.0
2024-07-02,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-07-02 03:00:00,3,44.0,320.0,7.0,,1.6,1.3,
2024-11-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-29 12:00:00,12,,130.0,4.0,,-15.2,-18.1,
2024-01-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-06 03:00:00,3,,,0.0,,-34.1,-35.9,
2024-01-16,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-16 12:00:00,12,36.0,30.0,6.0,,-28.2,-28.6,
2023-09-07,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-09-07 00:00:00,0,,80.0,6.0,,0.7,0.4,-0.0
2023-12-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-12-26 15:00:00,15,,150.0,2.0,,-31.5,-32.8,
2024-06-20,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-20 00:00:00,0,,70.0,5.0,,5.0,4.5,2.0
2023-07-25,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-07-25 12:00:00,12,,290.0,4.0,,-0.9,-1.0,
2024-01-30,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-30 18:00:00,18,,330.0,1.0,,-28.8,-28.9,
2024-09-03,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-09-03 12:00:00,12,,350.0,2.0,,2.2,0.6,
