observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2022-05-27,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-05-27 15:00:00,15,,360.0,1.0,,7.2,-1.2,
2022-01-26,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-26 03:00:00,3,2.0,,0.0,,-26.8,-29.3,
2022-01-02,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-02 06:00:00,6,,,0.0,,-29.8,-32.2,
2021-11-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-11-23 00:00:00,0,,,0.0,,-35.7,-38.1,
2021-11-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-11-23 18:00:00,18,,20.0,1.0,,-32.1,-34.4,
2019-12-20,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-12-20 15:00:00,15,,,0.0,,-38.7,-42.0,
2021-02-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-02-10 09:00:00,9,2.0,,0.0,,-3.6,-9.3,
2022-07-30,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-07-30 03:00:00,3,,160.0,2.0,,23.1,13.9,
2022-01-04,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-04 18:00:00,18,,,0.0,,-37.0,-39.8,
2022-01-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-03 03:00:00,3,71.0,,0.0,,-32.8,-35.8,
2020-01-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-01-09 03:00:00,3,85.0,,0.0,,-10.7,-12.0,
2020-09-14,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-09-14 09:00:00,9,,20.0,6.0,11.0,14.6,5.0,
2022-12-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-12-23 21:00:00,21,71.0,,0.0,,-26.7,-29.2,
2022-05-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-05-23 12:00:00,12,,200.0,1.0,,15.6,4.5,
2022-02-01,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-02-01 21:00:00,21,71.0,,0.0,,-30.3,-32.8,
2021-12-17,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-12-17 09:00:00,9,71.0,210.0,3.0,,-17.5,-20.1,
2021-07-01,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-07-01 21:00:00,21,10.0,,0.0,,15.3,14.6,
2020-06-21,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-06-21 06:00:00,6,,30.0,2.0,,29.1,9.7,
2021-03-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-03-10 21:00:00,21,2.0,,0.0,,-14.0,-16.0,
2022-11-24,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-11-24 12:00:00,12,,,0.0,,-25.0,-26.8,
2021-02-12,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-02-12 06:00:00,6,71.0,,0.0,,-24.5,-27.7,
2020-08-30,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-08-30 06:00:00,6,2.0,,0.0,,14.2,13.5,
2020-11-29,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-11-29 15:00:00,15,,,0.0,,-22.8,-24.7,
2019-11-04,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-11-04 09:00:00,9,,320.0,3.0,11.0,-8.2,-17.0,
2022-04-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-04-09 09:00:00,9,,40.0,4.0,,3.1,-6.9,
2020-01-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-01-03 06:00:00,6,85.0,160.0,2.0,,-8.9,-10.9,
