observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2022-10-13,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-10-13 15:00:00,15,10.0,280.0,2.0,,0.3,-0.3,
2022-07-24,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-07-24 09:00:00,9,,110.0,4.0,,30.7,16.0,
2022-06-14,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-06-14 21:00:00,21,,260.0,2.0,,18.9,2.0,
2022-02-03,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-02-03 06:00:00,6,71.0,,0.0,,-29.3,-32.8,
2020-08-23,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-08-23 12:00:00,12,4.0,100.0,3.0,,16.0,4.5,
2020-07-12,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-07-12 21:00:00,21,,220.0,4.0,,15.8,10.7,
2020-05-29,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-05-29 06:00:00,6,,280.0,4.0,,4.4,-7.0,
2022-01-27,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-01-27 03:00:00,3,,250.0,3.0,,-27.4,-30.6,
2021-01-02,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-01-02 15:00:00,15,,220.0,6.0,,-33.2,-36.2,
2020-04-18,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-04-18 06:00:00,6,,320.0,3.0,10.0,-7.4,-17.0,
